year,epi_week,lga,confirmed_cases,data_source,date,rainfall_weekly,temp_mean,temp_max,temp_min,humidity_mean,pop_density,population,water_access,sanitation_access,open_defecation,mpi,elevation_m,dist_coast_km,dist_river_km
2018,1,Akoko North-East,0,WHO_literature,2018-01-01,0.0,20.947142857142858,28.54,12.91,54.51714285714286,285,187,62,48,28,0.312,387,187,8
2018,2,Akoko North-East,0,WHO_literature,2018-01-08,0.94,23.655714285714286,30.88,15.78,69.81428571428572,285,187,62,48,28,0.312,387,187,8
2018,3,Akoko North-East,0,WHO_literature,2018-01-15,0.0,23.397142857142857,31.31,16.21,56.38857142857143,285,187,62,48,28,0.312,387,187,8
2018,4,Akoko North-East,0,WHO_literature,2018-01-22,0.0,23.274285714285714,31.32,16.1,52.82142857142857,285,187,62,48,28,0.312,387,187,8
2018,5,Akoko North-East,0,WHO_literature,2018-01-29,1.48,24.334285714285716,34.28,16.29,57.041428571428575,285,187,62,48,28,0.312,387,187,8
2018,6,Akoko North-East,0,WHO_literature,2018-02-05,33.480000000000004,26.534285714285716,34.15,20.75,81.12428571428572,285,187,62,48,28,0.312,387,187,8
2018,7,Akoko North-East,0,WHO_literature,2018-02-12,23.71,26.142857142857142,33.21,20.82,78.99857142857142,285,187,62,48,28,0.312,387,187,8
2018,8,Akoko North-East,0,WHO_literature,2018-02-19,27.75,25.071428571428573,31.89,21.24,84.89428571428572,285,187,62,48,28,0.312,387,187,8
2018,9,Akoko North-East,0,WHO_literature,2018-02-26,2.88,25.755714285714284,33.49,21.4,81.88571428571429,285,187,62,48,28,0.312,387,187,8
2018,10,Akoko North-East,0,WHO_literature,2018-03-05,7.09,25.97142857142857,32.79,21.71,82.28,285,187,62,48,28,0.312,387,187,8
2018,11,Akoko North-East,0,WHO_literature,2018-03-12,27.09,26.004285714285714,32.18,22.04,84.39714285714285,285,187,62,48,28,0.312,387,187,8
2018,12,Akoko North-East,0,WHO_literature,2018-03-19,12.61,25.592857142857145,33.15,21.28,83.39714285714285,285,187,62,48,28,0.312,387,187,8
2018,13,Akoko North-East,0,WHO_literature,2018-03-26,2.59,26.345714285714287,32.93,22.7,83.02571428571427,285,187,62,48,28,0.312,387,187,8
2018,14,Akoko North-East,0,WHO_literature,2018-04-02,7.71,25.904285714285713,31.61,21.8,84.37428571428572,285,187,62,48,28,0.312,387,187,8
2018,15,Akoko North-East,0,WHO_literature,2018-04-09,13.33,25.715714285714284,31.75,21.68,84.11857142857143,285,187,62,48,28,0.312,387,187,8
2018,16,Akoko North-East,0,WHO_literature,2018-04-16,25.92,25.68857142857143,31.31,22.45,86.00857142857141,285,187,62,48,28,0.312,387,187,8
2018,17,Akoko North-East,0,WHO_literature,2018-04-23,16.21,25.532857142857143,30.84,21.74,86.23571428571428,285,187,62,48,28,0.312,387,187,8
2018,18,Akoko North-East,0,WHO_literature,2018-04-30,21.54,25.919999999999998,30.88,22.32,85.90714285714286,285,187,62,48,28,0.312,387,187,8
2018,19,Akoko North-East,0,WHO_literature,2018-05-07,44.160000000000004,24.81714285714286,29.94,21.27,87.39,285,187,62,48,28,0.312,387,187,8
2018,20,Akoko North-East,0,WHO_literature,2018-05-14,40.18,25.26571428571429,30.02,21.38,87.69571428571429,285,187,62,48,28,0.312,387,187,8
2018,21,Akoko North-East,0,WHO_literature,2018-05-21,20.3,25.00142857142857,29.27,21.48,89.23142857142857,285,187,62,48,28,0.312,387,187,8
2018,22,Akoko North-East,0,WHO_literature,2018-05-28,40.22,25.16857142857143,30.65,22.05,88.0257142857143,285,187,62,48,28,0.312,387,187,8
2018,23,Akoko North-East,1,WHO_literature,2018-06-04,113.03,24.8,29.12,21.37,90.03571428571429,285,187,62,48,28,0.312,387,187,8
2018,24,Akoko North-East,1,WHO_literature,2018-06-11,27.75,24.64428571428571,29.31,20.74,88.97,285,187,62,48,28,0.312,387,187,8
2018,25,Akoko North-East,0,WHO_literature,2018-06-18,110.72,23.307142857142857,28.25,20.66,91.76857142857143,285,187,62,48,28,0.312,387,187,8
2018,26,Akoko North-East,1,WHO_literature,2018-06-25,101.85000000000001,23.84142857142857,28.28,20.29,88.77714285714286,285,187,62,48,28,0.312,387,187,8
2018,27,Akoko North-East,0,WHO_literature,2018-07-02,47.07,23.814285714285713,28.58,20.42,89.36285714285714,285,187,62,48,28,0.312,387,187,8
2018,28,Akoko North-East,1,WHO_literature,2018-07-09,28.11,24.27,29.45,20.91,88.56857142857143,285,187,62,48,28,0.312,387,187,8
2018,29,Akoko North-East,0,WHO_literature,2018-07-16,129.5,23.715714285714284,28.32,20.2,90.7242857142857,285,187,62,48,28,0.312,387,187,8
2018,30,Akoko North-East,0,WHO_literature,2018-07-23,87.44,24.17142857142857,29.38,20.81,89.5942857142857,285,187,62,48,28,0.312,387,187,8
2018,31,Akoko North-East,2,WHO_literature,2018-07-30,60.4,23.487142857142857,28.29,19.67,88.91142857142857,285,187,62,48,28,0.312,387,187,8
2018,32,Akoko North-East,1,WHO_literature,2018-08-06,25.92,23.928571428571427,28.38,20.38,89.23571428571428,285,187,62,48,28,0.312,387,187,8
2018,33,Akoko North-East,1,WHO_literature,2018-08-13,45.18,23.574285714285715,28.62,20.47,90.55999999999999,285,187,62,48,28,0.312,387,187,8
2018,34,Akoko North-East,0,WHO_literature,2018-08-20,125.3,23.131428571428575,28.5,20.21,92.65857142857143,285,187,62,48,28,0.312,387,187,8
2018,35,Akoko North-East,0,WHO_literature,2018-08-27,125.58,24.131428571428575,29.11,21.16,89.53714285714285,285,187,62,48,28,0.312,387,187,8
2018,36,Akoko North-East,0,WHO_literature,2018-09-03,183.88,23.542857142857144,27.78,21.05,92.60142857142857,285,187,62,48,28,0.312,387,187,8
2018,37,Akoko North-East,1,WHO_literature,2018-09-10,43.91,23.82,28.45,20.84,90.76285714285714,285,187,62,48,28,0.312,387,187,8
2018,38,Akoko North-East,0,WHO_literature,2018-09-17,72.61,24.527142857142856,29.04,21.3,90.23857142857142,285,187,62,48,28,0.312,387,187,8
2018,39,Akoko North-East,0,WHO_literature,2018-09-24,53.29,24.37142857142857,28.97,21.14,89.9042857142857,285,187,62,48,28,0.312,387,187,8
2018,40,Akoko North-East,0,WHO_literature,2018-10-01,22.61,24.364285714285717,29.42,21.27,90.67285714285715,285,187,62,48,28,0.312,387,187,8
2018,41,Akoko North-East,0,WHO_literature,2018-10-08,41.230000000000004,24.49142857142857,29.07,20.68,88.99142857142859,285,187,62,48,28,0.312,387,187,8
2018,42,Akoko North-East,2,WHO_literature,2018-10-15,38.84,24.99142857142857,30.55,20.49,86.95,285,187,62,48,28,0.312,387,187,8
2018,43,Akoko North-East,0,WHO_literature,2018-10-22,20.65,24.842857142857145,29.92,20.51,89.54285714285713,285,187,62,48,28,0.312,387,187,8
2018,44,Akoko North-East,0,WHO_literature,2018-10-29,50.95,25.12,30.16,21.3,88.49000000000001,285,187,62,48,28,0.312,387,187,8
2018,45,Akoko North-East,1,WHO_literature,2018-11-05,10.41,25.21857142857143,30.07,21.21,84.89714285714285,285,187,62,48,28,0.312,387,187,8
2018,46,Akoko North-East,0,WHO_literature,2018-11-12,10.16,25.47714285714286,30.63,19.87,78.99142857142859,285,187,62,48,28,0.312,387,187,8
2018,47,Akoko North-East,1,WHO_literature,2018-11-19,3.78,25.174285714285713,30.93,17.91,78.11,285,187,62,48,28,0.312,387,187,8
2018,48,Akoko North-East,0,WHO_literature,2018-11-26,0.07,24.95285714285714,30.73,18.75,78.45142857142856,285,187,62,48,28,0.312,387,187,8
2018,49,Akoko North-East,0,WHO_literature,2018-12-03,0.0,24.352857142857143,30.14,17.11,68.85571428571428,285,187,62,48,28,0.312,387,187,8
2018,50,Akoko North-East,0,WHO_literature,2018-12-10,0.25,24.34,31.2,17.46,66.71571428571428,285,187,62,48,28,0.312,387,187,8
2018,51,Akoko North-East,0,WHO_literature,2018-12-17,0.0,23.34857142857143,30.85,15.56,62.357142857142854,285,187,62,48,28,0.312,387,187,8
2018,52,Akoko North-East,0,WHO_literature,2018-12-24,0.0,22.728571428571428,29.25,15.33,61.22428571428571,285,187,62,48,28,0.312,387,187,8
2019,1,Akoko North-East,0,WHO_literature,2019-01-07,0.0,23.25857142857143,30.31,16.67,61.230000000000004,285,187,62,48,28,0.312,387,187,8
2019,2,Akoko North-East,0,WHO_literature,2019-01-14,0.0,23.322857142857142,31.28,16.85,65.3442857142857,285,187,62,48,28,0.312,387,187,8
2019,3,Akoko North-East,0,WHO_literature,2019-01-21,1.45,24.777142857142856,31.3,18.54,78.75285714285714,285,187,62,48,28,0.312,387,187,8
